HAUL_ID,SPECIMEN_BIOMETRIC_ID,SPECIMEN_ID,BIOMETRIC_ID,VALUE,UNITS,BIOMETRIC_NAME,COMPOSITE_NAME,BIOMETRIC_TYPE_ID,BIOMETRIC_TYPE,CODE_VALUE_MEANING,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
81,4871,1185,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:51:37",0,"06/06/2021 09:51:37",4871
81,4872,1185,11,98.42,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:51:37",0,"06/06/2021 09:51:37",4872
81,4870,1185,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:51:37",0,"06/06/2021 09:51:37",4870
81,4874,1186,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:51:39",0,"06/06/2021 09:51:39",4874
81,4875,1186,11,102.35,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:51:39",0,"06/06/2021 09:51:39",4875
81,4873,1186,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:51:39",0,"06/06/2021 09:51:39",4873
81,4877,1187,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:51:48",0,"06/06/2021 09:51:48",4877
81,4878,1187,11,94.72,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:51:48",0,"06/06/2021 09:51:48",4878
81,4876,1187,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:51:47",0,"06/06/2021 09:51:47",4876
81,4880,1188,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:52:40",0,"06/06/2021 09:52:40",4880
81,4881,1188,6,0,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","No eggs","f1f9206994e82d08","<not set>","06/06/2021 09:52:40",0,"06/06/2021 09:52:40",4881
81,4882,1188,7,0,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","No eggs","f1f9206994e82d08","<not set>","06/06/2021 09:52:40",0,"06/06/2021 09:52:40",4882
81,4883,1188,8,1,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","Mature, no eggs","f1f9206994e82d08","<not set>","06/06/2021 09:52:40",0,"06/06/2021 09:52:40",4883
81,4884,1188,11,91.21,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:52:40",0,"06/06/2021 09:52:40",4884
