Pot ID,Latitude,Longitude
J30,56.842109,160.145103
J31,56.808956,160.148146
J32,56.775803,160.151183
J33,56.742648,160.154214
J34,56.709492,160.15724
J35,56.676335,160.160261
J36,56.643176,160.163276
J37,56.610016,160.166285
J38,56.576855,160.169289
J39,56.543692,160.172288
J40,56.510528,160.175281
J41,56.477363,160.178269
J42,56.444196,160.181251
K1,57.822438,159.582954
K2,57.789333,159.586609
K3,57.756227,159.590257
K4,57.72312,159.593898
K5,57.690011,159.597533
K6,57.656902,159.60116
K7,57.623791,159.604781
K8,57.59068,159.608396
K9,57.557567,159.612003
K10,57.524453,159.615604
K11,57.491338,159.619198
K12,57.458222,159.622785
K13,57.425105,159.626366
K14,57.391986,159.62994
K15,57.358867,159.633507
K16,57.325746,159.637068
K17,57.292624,159.640622
K18,57.259501,159.64417
K19,57.226377,159.647711
K20,57.193252,159.651246
K21,57.160125,159.654774
K22,57.126997,159.658295
K23,57.093868,159.66181
K24,57.060738,159.665319
K25,57.027606,159.668821
K26,56.994473,159.672316
K27,56.961339,159.675806
K28,56.928204,159.679289
K29,56.895067,159.682765
K30,56.861929,159.686235
K31,56.82879,159.689699
K32,56.79565,159.693156
K33,56.762508,159.696608
K34,56.729365,159.700052
K35,56.69622,159.703491
K36,56.663074,159.706923
K37,56.629927,159.710349
