Pot_ID,Latitude,Lat_N,Lat_DM,Lat_DD,Longitude,Lon_W,Lon_DM,Lon_DD
C6,57° 39.03672' N,57,39.0367,57.6506,163° 20.18694' W,163,20.1869,-163.3364
C7,57° 37.0467' N,57,37.0467,57.6174,163° 20.19456' W,163,20.1946,-163.3366
C8,57° 35.05662' N,57,35.0566,57.5843,163° 20.20218' W,163,20.2022,-163.3367
C9,57° 33.06648' N,57,33.0665,57.5511,163° 20.20974' W,163,20.2097,-163.3368
C10,57° 31.07628' N,57,31.0763,57.5179,163° 20.2173' W,163,20.2173,-163.337
C11,57° 29.08602' N,57,29.086,57.4848,163° 20.22486' W,163,20.2249,-163.3371
C12,57° 27.0957' N,57,27.0957,57.4516,163° 20.23242' W,163,20.2324,-163.3372
C13,57° 25.10532' N,57,25.1053,57.4184,163° 20.23992' W,163,20.2399,-163.3373
C14,57° 23.11488' N,57,23.1149,57.3852,163° 20.24742' W,163,20.2474,-163.3375
C15,57° 21.12438' N,57,21.1244,57.3521,163° 20.25492' W,163,20.2549,-163.3376
C16,57° 19.13382' N,57,19.1338,57.3189,163° 20.26242' W,163,20.2624,-163.3377
C17,57° 17.14314' N,57,17.1431,57.2857,163° 20.26986' W,163,20.2699,-163.3378
C18,57° 15.15246' N,57,15.1525,57.2525,163° 20.27736' W,163,20.2774,-163.338
C19,57° 13.16166' N,57,13.1617,57.2194,163° 20.2848' W,163,20.2848,-163.3381
C20,57° 11.17086' N,57,11.1709,57.1862,163° 20.29218' W,163,20.2922,-163.3382
C21,57° 9.17994' N,57,9.1799,57.153,163° 20.29962' W,163,20.2996,-163.3383
C22,57° 7.18896' N,57,7.189,57.1198,163° 20.307' W,163,20.307,-163.3385
C23,57° 5.19792' N,57,5.1979,57.0866,163° 20.31438' W,163,20.3144,-163.3386
C24,57° 3.20682' N,57,3.2068,57.0534,163° 20.32176' W,163,20.3218,-163.3387
C25,57° 1.21566' N,57,1.2157,57.0203,163° 20.32914' W,163,20.3291,-163.3388
C26,56° 59.22444' N,56,59.2244,56.9871,163° 20.33646' W,163,20.3365,-163.3389
C27,56° 57.2331' N,56,57.2331,56.9539,163° 20.34378' W,163,20.3438,-163.3391
C28,56° 55.24176' N,56,55.2418,56.9207,163° 20.3511' W,163,20.3511,-163.3392
C29,56° 53.2503' N,56,53.2503,56.8875,163° 20.35842' W,163,20.3584,-163.3393
C30,56° 51.25878' N,56,51.2588,56.8543,163° 20.36574' W,163,20.3657,-163.3394
C31,56° 49.26714' N,56,49.2671,56.8211,163° 20.373' W,163,20.373,-163.3396
C32,56° 47.2755' N,56,47.2755,56.7879,163° 20.38026' W,163,20.3803,-163.3397
C33,56° 45.28374' N,56,45.2837,56.7547,163° 20.38752' W,163,20.3875,-163.3398
